nn np J
8 0 0
8 0 2
8 0 4
8 0 6 
8 0 8
8 1 1/2
8 1 3/2
8 1 5/2
8 1 7/2
8 1 9/2
8 1 11/2
8 1 13/2
8 1 15/2
8 1 17/2
8 1 19/2
8 1 21/2
8 1 23/2
8 1 25/2
8 2 0
8 2 1
8 2 2
8 2 3
8 2 4
8 2 5
8 2 6
8 2 7
8 2 8
8 2 9
8 2 10
8 2 11
8 2 12
8 2 13
8 2 14
8 2 15
8 2 16
8 3 1/2
8 3 3/2
8 3 5/2
8 3 7/2
8 3 9/2
8 3 11/2
8 3 13/2
8 3 15/2
8 3 17/2
8 3 19/2
8 3 21/2
8 3 23/2
8 3 25/2
8 3 27/2
8 3 29/2
8 3 31/2
8 3 33/2
8 3 35/2
8 3 37/2
8 4 0
8 4 1
8 4 2
8 4 3
8 4 4
8 4 5
8 4 6
8 4 7 
8 4 8
8 4 9 
8 4 10
8 4 11
8 4 12
8 4 13
8 4 14
8 4 15
8 4 16
8 4 17
8 4 18
8 4 19
8 4 20
8 5 1/2
8 5 3/2
8 5 5/2
8 5 7/2
8 5 9/2
8 5 11/2
8 5 13/2
8 5 15/2
8 5 17/2
8 5 19/2
8 5 21/2
8 5 23/2
8 5 25/2
8 5 27/2
8 5 29/2
8 5 31/2
8 5 33/2
8 5 35/2
8 5 37/2
8 5 39/2
8 5 41/2
8 10 0
8 10 2
8 10 4
8 10 6 
8 10 8
8 9 1/2
8 9 3/2
8 9 5/2
8 9 7/2
8 9 9/2
8 9 11/2
8 9 13/2
8 9 15/2
8 9 17/2
8 9 19/2
8 9 21/2
8 9 23/2
8 9 25/2
8 8 0
8 8 1
8 8 2
8 8 3
8 8 4
8 8 5
8 8 6
8 8 7
8 8 8
8 8 9
8 8 10
8 8 11
8 8 12
8 8 13
8 8 14
8 8 15
8 8 16
8 7 1/2
8 7 3/2
8 7 5/2
8 7 7/2
8 7 9/2
8 7 11/2
8 7 13/2
8 7 15/2
8 7 17/2
8 7 19/2
8 7 21/2
8 7 23/2
8 7 25/2
8 7 27/2
8 7 29/2
8 7 31/2
8 7 33/2
8 7 35/2
8 7 37/2
8 6 0
8 6 1
8 6 2
8 6 3
8 6 4
8 6 5
8 6 6
8 6 7 
8 6 8
8 6 9 
8 6 10
8 6 11
8 6 12
8 6 13
8 6 14
8 6 15
8 6 16
8 6 17
8 6 18
8 6 19
8 6 20
10 4 0
10 4 2
10 4 3
10 4 4
10 4 5
10 4 6
10 4 7
10 4 8 
10 4 9
10 4 10
10 4 12
10 2 0
10 2 2
10 2 4
10 2 6
10 2 8
10 0 0
10 1 9/2
10 3 3/2
10 3 5/2
10 3 7/2
10 3 9/2
10 3 11/2
10 3 13/2
10 3 15/2
10 3 17/2
10 3 21/2
10 5 1/2
10 5 3/2
10 5 5/2
10 5 7/2
10 5 9/2
10 5 11/2
10 5 13/2
10 5 15/2
10 5 17/2
10 5 19/2
10 5 21/2
10 5 25/2
10 6 0
10 6 2
10 6 3
10 6 4
10 6 5
10 6 6
10 6 7
10 6 8 
10 6 9
10 6 10
10 6 12
10 8 0
10 8 2
10 8 4
10 8 6
10 8 8
10 10 0
10 9 9/2
10 7 3/2
10 7 5/2
10 7 7/2
10 7 9/2
10 7 11/2
10 7 13/2
10 7 15/2
10 7 17/2
10 7 21/2
9 10 9/2
9 1 0
9 1 1
9 1 2
9 1 3
9 1 4
9 1 5
9 1 6
9 1 7
9 1 8
9 1 9
9 2 1/2
9 2 3/2
9 2 5/2
9 2 7/2
9 2 9/2
9 2 11/2
9 2 13/2
9 2 15/2
9 2 17/2
9 2 19/2
9 2 21/2
9 2 23/2
9 2 25/2
9 3 0
9 3 1
9 3 2
9 3 3
9 3 4
9 3 5
9 3 6
9 3 7
9 3 8
9 3 9
9 3 10
9 3 11
9 3 12
9 3 13
9 3 14
9 3 15
9 4 1/2
9 4 3/2
9 4 5/2
9 4 7/2
9 4 9/2
9 4 11/2
9 4 13/2
9 4 15/2
9 4 17/2
9 4 19/2
9 4 21/2
9 4 23/2
9 4 25/2
9 4 27/2
9 4 29/2
9 4 31/2
9 4 33/2
9 5 0 
9 5 1
9 5 2
9 5 3
9 5 4
9 5 5
9 5 6
9 5 7
9 5 8
9 5 9
9 5 10
9 5 11
9 5 12
9 5 13
9 5 14
9 5 15
9 5 16
9 5 17
9 6 1/2
9 6 3/2
9 6 5/2
9 6 7/2
9 6 9/2
9 6 11/2
9 6 13/2
9 6 15/2
9 6 17/2
9 6 19/2
9 6 21/2
9 6 23/2
9 6 25/2
9 6 27/2
9 6 29/2
9 6 31/2
9 6 33/2
9 7 0
9 7 1
9 7 2
9 7 3
9 7 4
9 7 5
9 7 6
9 7 7
9 7 8
9 7 9
9 7 10
9 7 11
9 7 12
9 7 13
9 7 14
9 7 15
9 8 1/2
9 8 3/2
9 8 5/2
9 8 7/2
9 8 9/2
9 8 11/2
9 8 13/2
9 8 15/2
9 8 17/2
9 8 19/2
9 8 21/2
9 8 23/2
9 8 25/2
9 0 9/2
9 9 0
9 9 1
9 9 2
9 9 3
9 9 4
9 9 5
9 9 6
9 9 7
9 9 8
9 9 9







