n,p,J,E,Delta_E,State,Parity
1,0,9/2,303,,,
2,0,0,0,,,
2,0,2,407,,,
2,0,4,"1040,84",,,
2,0,6,"1887,87",,,
2,0,8,"2908,6",,,
3,0,7/2,"77,04",,,
3,0,9/2,"138,8",,,
3,0,11/2,769,,,
3,0,13/2,"880,3",,,
3,0,15/2,"1662,9",,,
3,0,17/2,"1817,4",,,
3,0,21/2,2913,,,
4,0,0,0,,,
4,0,0,1244,,,1
4,0,2,"539,92",,,
4,0,2,"1119,31",,,
4,0,3,"1575,56",,,
4,0,4,"1262,81",,,
4,0,4,"1887,91",,,
4,0,4,"1966,4",,,1
4,0,5,"2335,36",,,
4,0,6,"2136,39",,,
4,0,6,"2739,9",,,
4,0,7,"3202,3",,,
4,0,8,"3088,97",,,
4,0,9,"4137,6",,,
4,0,10,"4068,7",,,
4,0,12,"5135,9",,,
5,0,7/2,0,,,
5,0,9/2,"50,12",,,
5,0,11/2,854,,,
5,0,11/2,"1176,2",,,
5,0,13/2,872,,,
5,0,13/2,1043,,,
5,0,15/2,"1758,5",,,
5,0,15/2,1941,,,
5,0,17/2,1884,,,
5,0,21/2,3018,,,
5,0,25/2,3958,,,
6,0,0,0,,,
6,0,2,"751,75",,,
6,0,2,"1421,77",,,
6,0,4,"1666,57",,,
6,0,0,"2041,9",,1,
6,0,1,"2041,9",,1,
6,0,2,"2041,9",,1,
6,0,3,"2041,9",,1,
6,0,4,"2041,9",,1,
6,0,4,"2343,74",,1,
6,0,6,"2669,88",,,
6,0,5,"3029,64",,1,
6,0,6,"3029,64",,1,
6,0,4,"3254,38",,1,
6,0,5,"3254,38",,1,
6,0,6,"3254,38",,1,
6,0,4,"3417,55",,1,
6,0,5,"3417,55",,1,
6,0,6,"3417,55",,1,
6,0,8,"3298,44",,,
6,0,8,"3532,64",,,
6,0,10,"4418,56",,,
6,0,12,"5396,4",,,
7,0,7/2,"200,91",,,
7,0,9/2,0,,,
7,0,9/2,"1087,37",,,1
7,0,11/2,"1124,88",,,
7,0,13/2,"1069,42",,,
7,0,17/2,"2201,9",,,
7,0,21/2,"2894,1",,,
8,0,0,0,,,
8,0,2,1057,,,
8,0,4,"2139,59",,,
8,0,6,"2810,8",,,
8,0,8,"2887,8",,,
9,0,9/2,0,,,
1,1,0,0,,,
1,1,2,418,,,
1,1,4,1056,,,
1,1,5,1180,,,
2,1,5/2,0,,,
2,1,7/2,"129,52",,,
2,1,9/2,"251,15",,,
2,1,11/2,710,,,
2,1,13/2,"873,7",,,
2,1,15/2,"1441,4",,,
2,1,17/2,"1720,9",,,
2,1,19/2,"2484,4",,,
2,1,21/2,"2777,3",,,
2,1,25/2,"4009,3",,,
3,1,1,0,,1,
3,1,2,0,,1,
3,1,3,0,,1,
3,1,2,65,,1,
3,1,3,65,,1,
3,1,4,"162,5",,1,
3,1,5,"162,5",,1,
3,1,7,"570,2",,,
3,1,8,"865,2",,,
3,1,9,"1201,7",,,
3,1,10,"1707,4",,,
3,1,11,"1991,2",,,
3,1,12,"2774,5",,,
3,1,13,"2986,5",,,
3,1,14,"4041,9",,,
3,1,15,"4151,2",,,
4,1,9/2,0,,,
4,1,9/2,"15,44",,,
4,1,13/2,"649,79",,,
4,1,17/2,"1491,05",,,
4,1,17/2,"2361,84",,,1
4,1,21/2,"2487,05",,,
4,1,25/2,"3510,94",,,
4,1,29/2,"4568,9",,,
4,1,33/2,"5794,06",,,
5,1,0,"236,86",,1,
5,1,1,"236,86",,1,
5,1,1,"97,46",,,
5,1,1,"49,96",,1,
5,1,2,"49,96",,1,
5,1,2,"236,86",,1,
5,1,3,"236,86",,1,
5,1,4,"236,86",,1,
5,1,6,0,,,
5,1,7,"26,3",,,
5,1,8,"274,4",,,
5,1,9,"724,7",,,
5,1,10,"1134,1",,,
5,1,11,"1601,1",,,
5,1,12,"2211,5",,,
5,1,13,2684,,,
5,1,14,"3468,2",,,
5,1,15,"3902,4",,,
5,1,15,"3987,4",,,
5,1,16,"4840,6",,,
5,1,17,"5274,1",,,
6,1,5/2,"400,76",,1,
6,1,7/2,"266,9",,,
6,1,7/2,"400,76",,1,
6,1,9/2,"3,9",,,
6,1,9/2,"400,76",,1,
6,1,11/2,"995,4",,,
6,1,11/2,"1051,5",,,
6,1,13/2,"784,5",,,
6,1,15/2,"1954,4",,,
6,1,15/2,"2114,5",,,
6,1,15/2,"2307,8",,,
6,1,17/2,"1737,1",,,
6,1,21/2,"2490,8",,,
6,1,21/2,"2861,2",,,
6,1,23/2,"3219,7",,,
6,1,25/2,"3445,9",,,
6,1,25/2,"3741,9",,,
6,1,25/2,3869,,,
6,1,27/2,"4301,1",,,
6,1,29/2,"4591,7",,,
6,1,29/2,"4939,8",,,
6,1,31/2,"5620,29",,,
6,1,33/2,5841,,,
7,1,8,0,,,
7,1,9,610,,,
7,1,10,"1089,41",,,
7,1,11,"1675,1",,,
7,1,12,"2077,33",,,
7,1,12,2483,,,
7,1,13,"2770,33",,,
7,1,14,"3442,2",,,
7,1,15,"3671,4",,,
8,1,7/2,"658,6",,,
8,1,7/2,844,,1,1
8,1,7/2,"1155,3",,1,1
8,1,7/2,1272,,1,1
8,1,7/2,"1640,2",,1,1
8,1,9/2,0,,,
8,1,9/2,844,,1,1
8,1,9/2,"1155,3",,1,1
8,1,9/2,1272,,1,1
8,1,9/2,"1640,2",,1,1
8,1,11/2,844,,1,1
8,1,11/2,"1155,3",,1,1
8,1,11/2,1272,,1,1
8,1,11/2,"1640,2",,1,1
8,1,13/2,"1003,41",,,
8,1,15/2,2136,,,
8,1,17/2,"1935,29",,,
8,1,19/2,"2522,98",,,
8,1,21/2,"2192,92",,,
8,1,25/2,"3402,99",,,
9,1,1,"382,01",1,,
9,1,3,958,,1,
9,1,4,328,,,
9,1,5,"285,3",,,
9,1,6,"122,37",,,
9,1,7,"171,1",,,
9,1,8,0,,,
9,1,9,"812,9",,,
3,3,0,0,,,
3,3,2,593,,,
3,3,4,1443,,,
3,3,6,1524,,,
3,3,3,1174,,1,
3,3,4,1174,,1,
4,3,9/2,0,,,
4,3,7/2,1670,,,
4,3,17/2,1599,,,
4,3,13/2,712,,,
6,3,5/2,"401,6",,,
6,3,5/2,"1518,2",,,
6,3,7/2,"179,2",,,
6,3,7/2,"1014,6",,,
6,3,9/2,0,,,
6,3,11/2,"1101,3",,,
6,3,13/2,"795,6",,,
6,3,15/2,"2043,6",,,
6,3,17/2,"1731,8",,,
6,3,17/2,"2031,9",,,
6,3,21/2,"2427,1",,,
6,3,23/2,"3103,9",,,
6,3,25/2,"3217,7",,,
6,3,29/2,"4243,2",,,
6,3,32/2,"5329,2",,,
6,3,35/2,"6190,5",,,
6,3,37/2,"6545,9",,,
6,3,37/2,"7011,33",,,
6,3,39/2,7402,,,
6,3,41/2,7772,,,
6,3,45/2,"9109,8",,,
7,3,8,0,,,
7,3,6,"103,7",,,
7,3,1,"144,1",,,
7,3,9,"494,09",,,
7,3,10,"99,72",,,
7,3,11,"1485,9",,,
7,3,12,"1938,56",,,
7,3,13,"2537,4",,,
7,3,14,"3167,77",,,
7,3,15,"3383,26",,,
7,3,15,"3593,08",,,
7,3,16,"4486,41",,,
7,3,17,"4512,12",,,
7,3,17,"4864,66",,,
7,3,18,"5599,18",,,
7,3,19,"5651,25",,,
7,3,20,"6455,27",,,
7,3,21/2,"6884,81",,,
8,3,9/2,0,,,
8,3,7/2,"394,51",,,
8,3,7/2,"698,91",,,
8,3,13/2,"892,9",,,
8,3,11/2,"1097,1",,,
8,3,11/2,"1532,62",,,
8,3,17/2,"1821,33",,,
8,3,15/2,"2044,84",,,
8,3,21/2,"2137,17",,,
8,3,23/2,"2767,98",,,
8,3,25/2,"3135,9",,,
8,3,25/2,"3345,43",,,
8,3,27/2,"4119,3",,,
8,3,29/2,"4354,52",,,
8,3,29/2,"4705,22",,,
8,3,31/2,"5090,26",,,
8,3,31/2,"5382,9",,,
8,3,33/2,"5268,1",,,
8,3,33/2,"5776,12",,,
8,3,33/2,"6192,16",,,
8,3,35/2,"5933,67",,,
